name,nature,termStart,termEnd,state,constituency,party,gender,education,educationDetails,age,debates,bills,questions,attendance,notes
Somabhai Gandalal Koli Patel,Elected,18-May-09,In office,Gujarat,Surendranagar,Indian National Congress,Male,Under Matric,"Educated at Viramgam Taluka Shala, Viramgam, Ahmedabad, Gujarat",71,1,0,6,86, (All data updated till 22 May 2012)
Somendra Nath Mitra,Elected,18-May-09,In office,West Bengal,Diamond Harbour,All India Trinamool Congress,Male,Graduate,"B.Sc., LL.B.",68,1,0,171,49, (All data updated till 22 May 2012)
Sonawane Pratap Narayanrao,Elected,18-May-09,In office,Maharashtra,Dhule,Bharatiya Janata Party,Male,Graduate,"B.E.(Civil); Educated at College of Engineering., Pune, (Maharashtra)",63,12,0,225,53, (All data updated till 22 May 2012)
Sonia Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Rae Bareli,Indian National Congress,Female,Diploma Course,"(i) Three years course in foreign languages (English & French) completed in 1964 at Istituto Santa Teresa, Turin (Italy); (ii) Certificate in English from Lennox Cook School, Cambridge (U.K.) completed in 1965.",65,1,0,0,46, (All data updated till 22 May 2012)
Srikanta Kumar Jena,Elected,18-May-09,In office,Orissa,Balasore,Indian National Congress,Male,Graduate,"B.A.; Educated at Kendrapara College, Utkal University, Cuttack, Orissa",61,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Subhash Bapurao Wankhede,Elected,18-May-09,In office,Maharashtra,Hingoli,Shiv Sena,Male,Matric,"Educated at Zilla Parishad School, Hadgaon, Maharashtra",49,10,0,254,64, (All data updated till 22 May 2012)
Subodh Kant Sahay,Elected,18-May-09,In office,Jharkhand,Ranchi,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at A.N. College, Patna and Ranchi University",60,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Subrata Bakshi,Elected,21-Dec-11,In office,West Bengal,Kolkata Dakshin,All India Trinamool Congress,Male,Professional Graduate,"B.Sc., LL.B.",61,1,0,0,40, (All data updated till 22 May 2012)
Sucharu Ranjan Haldar,Elected,18-May-09,In office,West Bengal,Ranaghat,All India Trinamool Congress,Male,Post Graduate,"M.B.B.S., DTM&H, DDV, M.D.; Educated at (i) Kanakrapara Municiapal Polytechnic High School, (ii) Hooghly Mohsin College, (iii) Medical College, Kolkata, (iv) Kolkata School of Tropical Medicine, (v) University College of Medicine (Kolkata University) and ",72,6,0,25,81, (All data updated till 22 May 2012)
Sudarshan Bhagat,Elected,18-May-09,In office,Jharkhand,Lohardaga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand",42,13,0,266,86, (All data updated till 22 May 2012)
Sudip Bandyopadhyay,Elected,18-May-09,In office,West Bengal,Kolkata Uttar,All India Trinamool Congress,Male,Graduate,"B.Sc.; Educated at K.N. College, Berhampore, West Bengal",59,45,0,0,89,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (All data updated till 22 May 2012)"
Sukender Reddy Gutha,Elected,18-May-09,In office,Andhra Pradesh,Nalgonda,Indian National Congress,Male,Graduate,"B.Sc.; Educated at Osmania University, Hyderabad, Andhra Pradesh",58,7,0,81,65, (All data updated till 22 May 2012)
Sukhdev Singh Libra,Elected,18-May-09,In office,Punjab,Fatehgarh Sahib,Indian National Congress,Male,Matric,"Educated at Shri Guru Govind Singh High School, Khanna, Distt. Ludhiana, Punjab",79,8,0,81,98, (All data updated till 22 May 2012)
Sultan Ahmed,Elected,18-May-09,In office,West Bengal,Uluberia,All India Trinamool Congress,Male,Graduate,"Calcutta University, West Bengal",58,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Sumitra Mahajan,Elected,18-May-09,In office,Madhya Pradesh,Indore,Bharatiya Janata Party,Female,Post Graduate,"M.A., LL.B.; Educated at Indore University, Indore (Madhya Pradesh) ",69,40,2,414,86, (All data updated till 22 May 2012)
Supriya Sule,Elected,18-May-09,In office,Maharashtra,Baramati,Nationalist Congress Party,Female,Graduate,"B.Sc. (Microbiology); Educated at Jai Hind College, Mumbai, Maharashtra",42,29,5,572,86, (All data updated till 22 May 2012)
Surendra Singh Nagar,Elected,18-May-09,In office,Uttar Pradesh,Gautam Buddha Nagar,Bahujan Samaj Party,Male,Graduate,"B.Com; Educated at SSV (PG) College, Hapur, Ghaziabad, Uttar Pradesh",47,20,0,236,78, (All data updated till 22 May 2012)
Suresh Channabasappa Angadi,Elected,18-May-09,In office,Karnataka,Belgaum,Bharatiya Janata Party,Male,Graduate,"B. Com, LL.B. (Spl.); Educated at S.S. S. Samiti College of Commerce, Belgaum and; R.L. Law College, Belgaum",56,19,0,226,74, (All data updated till 22 May 2012)
Suresh Kalmadi,Elected,18-May-09,In office,Maharashtra,Pune,Indian National Congress,Male,Graduate,"B.A.; Educated at Fergusson College, Pune, National Defence Academy, Kharakvasla and Air Force Flying College, Jodhpur and Allahabad",68,1,0,73,44, (All data updated till 22 May 2012)
Suresh Kashinath Taware,Elected,18-May-09,In office,Maharashtra,Bhiwandi,Indian National Congress,Male,Graduate,"B.Com; Educated at B.N.N. College, Bhiwandi",51,9,0,109,86, (All data updated till 22 May 2012)
Suresh Kodikunnil,Elected,18-May-09,In office,Kerala,Mavelikkara,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Government Law College, Trivandrum (Kerala) ",49,62,4,614,81, (All data updated till 22 May 2012)
Suresh Kumar Shetkar,Elected,18-May-09,In office,Andhra Pradesh,Zahirabad,Indian National Congress,Male,Graduate,"B.Sc. (Agriculture); Educated at Marathwada Agricultural University Parbhani, Maharashtra",51,17,0,525,77, (All data updated till 22 May 2012)
Sushil Kumar Sambhajirao Shinde,Elected,18-May-09,In office,Maharashtra,Solapur,Indian National Congress,Male,Graduate,"B.A. (Hons.), LL.B.; Educated at Sangameshwar and Dayanand College, Solapur, Shivaji University, Kolhapur and New Law College, Mumbai University , Maharashtra",70,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Sushil Kumar Singh,Elected,18-May-09,In office,Bihar,Aurangabad,Janata Dal (United),Male,Post Graduate,"M.A. (Political Science); Educated at A.N. College, Magadh University, Patna (Bihar) ",48,29,0,238,75, (All data updated till 22 May 2012)
Sushila Saroj,Elected,18-May-09,In office,Uttar Pradesh,Mohanlalganj,Samajwadi Party,Female,Post Graduate,"M.A., B.Ed., LL.B.; Educated at Lucknow, Gorakhpur University, Uttar Pradesh",61,21,0,405,88, (All data updated till 22 May 2012)
Sushma Swaraj,Elected,18-May-09,In office,Madhya Pradesh,Vidisha,Bharatiya Janata Party,Female,Graduate,"B.A., L.L.B.; Educated at S.D. College, Ambala Cantt. (Haryana) and Law Deptt. Panjab University, Chandigarh",60,79,1,42,94,"This MP was appointed the Leader of Opposition at the end of Winter Session, 2009 and hence, is not required to sign the attendance register. Attendance is thus available only till 21st December, 2009. (All data updated till 22 May 2012)"
Susmita Bauri,Elected,18-May-09,In office,West Bengal,Bishnupur,Communist Party of India (Marxist),Female,Graduate,"LL.B.; Educated at Hazra, Law College, Calcutta University, West Bengal",37,24,0,31,95, (All data updated till 22 May 2012)
Suvendu Adhikari,Elected,18-May-09,In office,West Bengal,Tamluk,All India Trinamool Congress,Male,Graduate,B.A. (Hons.); Educated at Contai P. K. College,41,9,0,50,24, (All data updated till 22 May 2012)
Syed Shahnawaz Hussain,Elected,18-May-09,In office,Bihar,Bhagalpur,Bharatiya Janata Party,Male,Diploma Course,"Diploma in Engineering (Electronics); Educated at B.S.S.E., Supaul, Patna and ITI, Pusa, Delhi",43,50,0,444,93, (All data updated till 22 May 2012)
T.K.S. Elangovan,Elected,18-May-09,In office,Tamil Nadu,Chennai North,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A. (English Literature); Educated at Pachayappa`s College, Chennai",57,37,0,15,93, (All data updated till 22 May 2012)
Tabassum Hasan,Elected,18-May-09,In office,Uttar Pradesh,Kairana,Bahujan Samaj Party,Female,Matric,,41,0,0,22,65, (All data updated till 22 May 2012)
Takam Sanjoy,Elected,18-May-09,In office,Arunachal Pradesh,Arunachal West,Indian National Congress,Male,Graduate,"I.T.I (Mech.), B.A. & LL.B (Final); Educated at Rajiv Gandhi University and Don Bosco Technical School, Shillong, Dera Natung College, Itanagar, Shillong Law College, (NEHU) ",45,5,0,54,69, (All data updated till 22 May 2012)
