name,nature,termStart,termEnd,state,constituency,party,gender,education,educationDetails,age,debates,bills,questions,attendance,notes
Dharmendra Yadav,Elected,18-May-09,In office,Uttar Pradesh,Badaun,Samajwadi Party,Male,Post Graduate,"M.A., L.L.B.; Educated at Allahabad University, Allahabad, Uttar Pradesh",33,18,0,528,75, (All data updated till 22 May 2012)
Dhruva Narayana Rangaswamy,Elected,18-May-09,In office,Karnataka,Chamrajanagar,Indian National Congress,Male,Post Graduate,"M.Sc. (Agriculture); Educated at University of Agricultural Sciences, Bangalore",50,48,0,364,79, (All data updated till 22 May 2012)
Digvijay Singh,Elected,18-May-09,24-06-2010,Bihar,Banka,Independent,Male,Post Graduate,"M.A., M. Phil.; Educated at Patna University, Patna and Jawaharlal Nehru University, New Delhi and Tokyo University (Japan) ",56,2,0,0,77, (All data updated till 22 May 2012)
Dilip Kumar Mansukhlal Gandhi,Elected,18-May-09,In office,Maharashtra,Ahmednagar,Bharatiya Janata Party,Male,Matric,"S.S.C.; Educated at Pune University, Pune (Maharashtra)",61,24,0,138,69, (All data updated till 22 May 2012)
Dilip Singh Ju Dev,Elected,18-May-09,In office,Chhattisgarh,Bilaspur,Bharatiya Janata Party,Male,Post Graduate,"B.A., LL.B. (Pt. II); Educated at Mayo College, Ajmer, Raj Kumar College, Raipur, ST. Xavier College, Ranchi, Chhotanagpur Law College, Ranchi",70,2,0,142,65, (All data updated till 22 May 2012)
Dinesh Chandra Yadav,Elected,18-May-09,In office,Bihar,Khagaria,Janata Dal (United),Male,Diploma Course,"D.C.E. (Civil), I.A.; Educated at Government Polytechnic, Saharsa and C.M. Science College, Madhipura, Bihar",61,32,0,280,92, (All data updated till 22 May 2012)
Dinesh Kashyap,Elected,13-May-11,In office,Chhattisgarh,Bastar,Bharatiya Janata Party,Male,Others,,42,0,0,6,57, (All data updated till 22 May 2012)
Dinesh Trivedi,Elected,18-May-09,In office,West Bengal,Barrackpur,All India Trinamool Congress,Male,Post Graduate,M.B.A.,61,0,0,0,50,"This MP was a Minister. He tendered his resignation on 18th March, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 19th March, 2012 (All data updated till 22 May 2012)"
Dinsha J. Patel,Elected,18-May-09,In office,Gujarat,Kheda,Indian National Congress,Male,Matric,,75,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Dip Gogoi,Elected,18-May-09,In office,Assam,Kaliabor,Indian National Congress,Male,Graduate,B.Sc.,60,0,0,0,79, (All data updated till 22 May 2012)
Dudhgaonkar Ganeshrao Nagorao,Elected,18-May-09,In office,Maharashtra,Parbhani,Shiv Sena,Male,Graduate,"B.A., LL.B.",66,35,0,257,89, (All data updated till 22 May 2012)
Dushyant Singh,Elected,18-May-09,In office,Rajasthan,Jhalawar-Baran,Bharatiya Janata Party,Male,Post Graduate,"B.A. , M.B.A. (Hotel Administration) and P.G. Diploma in Hotel Operations; Educated at Doon School, Dehradun,; St. Stephen`s College, Delhi, Johnson and Wales University, Providence, RI, USA and IHTTI School of Mangaement, Neuchatel, Switzerland, ",38,22,0,290,78, (All data updated till 22 May 2012)
E. Ahamed,Elected,18-May-09,In office,Kerala,Malappuram,Muslim League Kerala State Committee,Male,Graduate,"B.A., B.L.; Educated at Government Brennen College, Tellicherry and Government Law College, Thiruvananthapuram (Kerala) ",74,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
E. T. Mohammed Basheer,Elected,18-May-09,In office,Kerala,Ponnani,Muslim League Kerala State Committee,Male,Inter/ Higher Secondary,,65,43,0,126,77, (All data updated till 22 May 2012)
E.G. Sugavanam,Elected,18-May-09,In office,Tamil Nadu,Krisnagiri,Dravida Munnetra Kazhagam,Male,Diploma Course,"Diploma in Pharmacy; Educated at K.L.E. Society, Nijalingappa College, Bangalore",54,17,0,559,56, (All data updated till 22 May 2012)
Eknath Mahadeo Gaikwad,Elected,18-May-09,In office,Maharashtra,Mumbai-South-Central,Indian National Congress,Male,Under Graduate,,72,7,0,666,98, (All data updated till 22 May 2012)
Farooq Abdullah,Elected,18-May-09,In office,Jammu and Kashmir,Srinagar,Jammu and Kashmir National Conference,Male,Graduate,"M.B.B.S.; Educated at S.M.S. Medical College, Jaipur, Rajasthan",74,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Feroze Varun Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Pilibhit,Bharatiya Janata Party,Male,Graduate,"B.Sc. (Economics); educated at London School of Economics (LSE), London University, UK.",32,2,1,480,68, (All data updated till 22 May 2012)
Francisco Sardinha,Elected,18-May-09,In office,Goa,South Goa,Indian National Congress,Male,Graduate,"B.Sc., B.Ed.; Educated at Chowgule College, Bombay University (Maharashtra) ",66,13,1,167,93, (All data updated till 22 May 2012)
G.V. Harsha Kumar,Elected,18-May-09,In office,Andhra Pradesh,Amalapuram,Indian National Congress,Male,Post Graduate,"M.Sc. (Marine Geology); Educated at Andhra University, Waljair, Andhra Pradesh",52,3,0,34,81, (All data updated till 22 May 2012)
Gaddam Vivekanand,Elected,18-May-09,In office,Andhra Pradesh,Peddapalle,Indian National Congress,Male,Graduate,"M.B.B.S.; Educated at Osmania Medical College, Hyderabad, Andhra Pradesh",54,8,0,57,67, (All data updated till 22 May 2012)
Gadhvi Mukeshkumar Bhairavdanji,Elected,18-May-09,In office,Gujarat,Banaskantha,Indian National Congress,Male,Graduate,B.Com; Educated at Gujarat University,49,5,0,345,84, (All data updated till 22 May 2012)
Gajanan Dharmshi Babar,Elected,18-May-09,In office,Maharashtra,Maval,Shiv Sena,Male,Under Matric,,69,17,0,721,70, (All data updated till 22 May 2012)
Gajendra Singh Rajukhedi,Elected,18-May-09,In office,Madhya Pradesh,Dhar,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Government Arts and Commerce College and Christian College, Indore, Madhya Pradesh",47,1,0,99,84, (All data updated till 22 May 2012)
Ganesh Singh,Elected,18-May-09,In office,Madhya Pradesh,Satna,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.; Educated at Awadesh Pratap Singh University,; Rewa and Law College, Satna, Madhya Pradesh",49,106,0,419,81, (All data updated till 22 May 2012)
Gangasandra Siddappa Basavaraj,Elected,18-May-09,In office,Karnataka,Tumkur,Bharatiya Janata Party,Male,Graduate,"B.Sc., B.L.; Educated at First Grade College, Tumkur and Vidyodaya Law College, Tumkur, Karnataka",71,2,2,150,76, (All data updated till 22 May 2012)
Ghansyam Anuragi,Elected,18-May-09,In office,Uttar Pradesh,Jalaun,Samajwadi Party,Male,Post Graduate,"M.A. (Acharya), LL.B. (2nd year); Educated at Sampoornanad Sanskrit Vishwavidyalaya, Varanasi and Bundel Khand University, Jhansi, Uttar Pradesh",39,46,0,247,95, (All data updated till 22 May 2012)
Girija Vyas,Elected,18-May-09,In office,Rajasthan,Chittorgarh,Indian National Congress,Female,Doctorate,"M.A., Ph.D.; Educated at University of Udaipur (Rajasthan) and in U.S.A.",65,18,0,16,89, (All data updated till 22 May 2012)
Gobinda Chandra Naskar,Elected,18-May-09,In office,West Bengal,Bongaon,All India Trinamool Congress,Male,Post Graduate,"M.A., B.T.; Educated at Jadavpur University (JU) ",70,8,0,1,79, (All data updated till 22 May 2012)
Gopal Singh Shekhawat,Elected,18-May-09,In office,Rajasthan,Rajsamand,Indian National Congress,Male,Graduate,"B.A., L.L.B.; Educated at Rajasthan University",61,11,0,61,88, (All data updated till 22 May 2012)
Gorakh Prasad Jaiswal,Elected,18-May-09,In office,Uttar Pradesh,Deoria,Bahujan Samaj Party,Male,Matric,"Educated at Town Hindi High School, Golaghat, Assam",73,27,0,481,84, (All data updated till 22 May 2012)
Goraknath Pandey,Elected,18-May-09,In office,Uttar Pradesh,Bhadohi,Bahujan Samaj Party,Male,Post Graduate,"M.A., B.Ed.; Educated at Gyanpur P.G. College, Bhadohi, Agra University, Uttar Pradesh",61,73,0,95,94, (All data updated till 22 May 2012)
Govind Prasad Mishra,Elected,18-May-09,In office,Madhya Pradesh,Sidhi,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B. & D.C.E.; Educated at A.P.S. University, Reva (Madhya Pradesh) and; Samrat Ashok Technical Institute, Vidisha, Madhya Pradesh",62,28,0,158,93, (All data updated till 22 May 2012)
Gowdar Mallikarjunappa Siddeswara,Elected,18-May-09,In office,Karnataka,Davanagere,Bharatiya Janata Party,Male,Matric,"Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka) ",59,15,0,596,62, (All data updated till 22 May 2012)
Gurudas Dasgupta,Elected,18-May-09,In office,West Bengal,Ghatal,Communist Party of India,Male,Post Graduate,"M. Com; Educated at Asutosh College, Calcutta and; University College of Arts & Commerce, Calcutta",75,69,0,384,87, (All data updated till 22 May 2012)
Gurudas Kamat,Elected,18-May-09,In office,Maharashtra,Mumbai-North-West,Indian National Congress,Male,Post Graduate,"B.Com., LL.B., M.B.A.; Educated at R.A. Podar College of Commerce and Economics and Government Law College, Mumbai, Maharashtra",57,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
H.D. Devegowda,Elected,18-May-09,In office,Karnataka,Hassan,Janata Dal (Secular),Male,Diploma Course,"D.C.E.; Educated at Government High School, Holenarsipura and Smt.L.V. Polytechnic, Hassan, Karnataka",79,21,0,0,68, (All data updated till 22 May 2012)
H.D. Kumaraswamy,Elected,18-May-09,In office,Karnataka,Bangalore Rural,Janata Dal (Secular),Male,Graduate,B.Sc.,52,2,0,0,40, (All data updated till 22 May 2012)
Hamdullah Sayeed,Elected,18-May-09,In office,Lakshadweep,Lakshadweep,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at Indian Law Society, Pune",30,30,0,336,87, (All data updated till 22 May 2012)
Hansraj Gangaram Ahir,Elected,18-May-09,In office,Maharashtra,Chandrapur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"S.S.C.; Educated at L.T.Y. School, Chandrapur, Maharashtra",57,87,24,702,72, (All data updated till 22 May 2012)
Hari Manjhi,Elected,18-May-09,In office,Bihar,Gaya,Bharatiya Janata Party,Male,Under Matric,,49,12,0,68,94, (All data updated till 22 May 2012)
Haribhau Madhav Jawale,Elected,18-May-09,In office,Maharashtra,Raver,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at M.J. College, Jalgaon, Maharashtra",58,33,1,196,84, (All data updated till 22 May 2012)
Harin Pathak,Elected,18-May-09,In office,Gujarat,Ahmedabad East,Bharatiya Janata Party,Male,Graduate,"B.A., B.Ed.; Educated at Gujarat University, Ahmedabad (Gujarat) ",64,25,0,233,86, (All data updated till 22 May 2012)
Harischandra Deoram Chavan,Elected,18-May-09,In office,Maharashtra,Dindori,Bharatiya Janata Party,Male,Graduate,"B.A. (With English Special); Educated at K.G. Joshi College, Thane (Maharashtra) ",60,6,0,529,79, (All data updated till 22 May 2012)
Harish Choudhary,Elected,18-May-09,In office,Rajasthan,Barmer,Indian National Congress,Male,Post Graduate,"M.A. (Economics); Educated at Jai Narayanvyas University, Jodhpur, Rajasthan",42,44,0,400,90, (All data updated till 22 May 2012)
Harish Rawat,Elected,18-May-09,In office,Uttarakhand,Hardwar,Indian National Congress,Male,Graduate,"B.A., LL.B; Educated at Lucknow University, Uttar Pradesh",64,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Harsh Vardhan,Elected,18-May-09,In office,Uttar Pradesh,Maharajganj,Indian National Congress,Male,Graduate,"B.A.; Educated at Lucknow University , Uttar Pradesh",64,35,0,251,79, (All data updated till 22 May 2012)
Harsimrat Kaur Badal,Elected,18-May-09,In office,Punjab,Bathinda,Shiromani Akali Dal,Female,Graduate,Degree in Dress designing,45,20,0,190,77, (All data updated till 22 May 2012)
Hassan Khan,Elected,18-May-09,In office,Jammu and Kashmir,Ladakh,Independent,Male,Graduate,"B.A.; Educated at Kashmir University, Srinagar, Jammu & Kashmir",72,14,0,47,94, (All data updated till 22 May 2012)
Hemanand Biswal,Elected,18-May-09,In office,Orissa,Sundargarh,Indian National Congress,Male,Inter/ Higher Secondary,,72,8,0,169,87, (All data updated till 22 May 2012)
Hukamdeo Narayan Yadav,Elected,18-May-09,In office,Bihar,Madhubani,Bharatiya Janata Party,Male,Graduate,"Graduate, Amanat (Land surveying); Educated at Chandradhari Mithila College, Darbhanga, Bihar",72,71,0,214,95, (All data updated till 22 May 2012)
Ijyaraj Singh,Elected,18-May-09,In office,Rajasthan,Kota,Indian National Congress,Male,Post Graduate,"MBA (Marketing), B.Sc. (Computer Science); Educated at Columbia Business School, Columbia University, New York, U.S.A. and Brown University Providence, Rhode Island, U.S.A.",47,27,0,357,87, (All data updated till 22 May 2012)
Inder Singh Namdhari,Elected,18-May-09,In office,Jharkhand,Chatra,Independent,Male,Graduate,"B.E. (Telecommunication); Educated at BIT, Sindri, Jharkhand",69,18,2,142,90, (All data updated till 22 May 2012)
Inderjit Singh Rao,Elected,18-May-09,In office,Haryana,Gurgaon,Indian National Congress,Male,Graduate,"B.A. (Hons), LL.B., Educated at University of Delhi, Delhi",62,2,0,7,81, (All data updated till 22 May 2012)
Ingrid Mcleod,Nominated,18-Sep-09,In office,,,Independent,Female,Graduate,"Educated at Guru Ghasidas University, Bilaspur, Chhattisgarh",44,4,0,97,80, (All data updated till 22 May 2012)
Ismail Hussain,Elected,18-May-09,In office,Assam,Barpeta,Indian National Congress,Male,Post Graduate,"M.A.; Educated at B.H. College, Howli, Barpeta, Assam and Gauwhati University, Assam",62,0,0,0,98, (All data updated till 22 May 2012)
J. Shantha,Elected,18-May-09,In office,Karnataka,Bellary,Bharatiya Janata Party,Female,Inter/ Higher Secondary,,38,10,0,516,63, (All data updated till 22 May 2012)
J.M. Aaron Rashid,Elected,18-May-09,In office,Tamil Nadu,Theni,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Sir Thiyagaraja College, Washermanpet, Chennai , Tamil Nadu",62,39,0,263,67, (All data updated till 22 May 2012)
Jadhav Baliram Sukur,Elected,18-May-09,In office,Maharashtra,Palghar,Bahujan Vikas Aaghadi,Male,Under Matric,,55,6,0,146,93, (All data updated till 22 May 2012)
Jadhav Prataprao Ganpatrao,Elected,18-May-09,In office,Maharashtra,Buldhana,Shiv Sena,Male,Under Graduate,"B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana",51,11,0,240,64, (All data updated till 22 May 2012)
Jagada Nand Singh,Elected,18-May-09,In office,Bihar,Buxar,Rashtriya Janata Dal,Male,Graduate,"B.Sc., LL.B.; Educated at Banaras Hindu University and Harish Chandra P.G. College, Varanasi",69,62,0,280,94, (All data updated till 22 May 2012)
Jagdambika Pal,Elected,18-May-09,In office,Uttar Pradesh,Domariyaganj,Indian National Congress,Male,Post Graduate,"M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University",61,152,4,191,93, (All data updated till 22 May 2012)
Jagdish Sharma,Elected,18-May-09,In office,Bihar,Jahanabad,Janata Dal (United),Male,Graduate,"B.Vsc. & A.H., L.L.B.; Educated at Magadh University and Rajendra Agricultural University Pussa (Bihar) ",61,22,0,343,82, (All data updated till 22 May 2012)
Jagdish Singh Rana,Elected,18-May-09,In office,Uttar Pradesh,Saharanpur,Bahujan Samaj Party,Male,Graduate,"B.A.; Educated at J.V. Jain College, Saharanpur, Uttar Pradesh",57,10,0,93,84, (All data updated till 22 May 2012)
Jagdish Thakor,Elected,18-May-09,In office,Gujarat,Patan,Indian National Congress,Male,Matric,"Educated at N.S. Vidyalaya, Naroda, Gujarat",54,17,0,194,65, (All data updated till 22 May 2012)
Jai Prakash Agarwal,Elected,18-May-09,In office,Delhi,North East Delhi,Indian National Congress,Male,Graduate,"B.A.; Educated at Hansraj College, Delhi",67,63,17,614,98, (All data updated till 22 May 2012)
Jainarain Prasad Nishad,Elected,18-May-09,In office,Bihar,Muzaffarpur,Janata Dal (United),Male,Inter/ Higher Secondary,"Educated at Madhya Pradesh Education Board, Bhopal (Madhya Pradesh) ",81,5,0,59,81, (All data updated till 22 May 2012)
Jaipal Sudini Reddy,Elected,18-May-09,In office,Andhra Pradesh,Chelvella,Indian National Congress,Male,Post Graduate,"M.A. (English), B.J.; Educated at Osmania University, Hyderabad, Andhra Pradesh",70,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Janardhana Swamy,Elected,18-May-09,In office,Karnataka,Chitradurga,Bharatiya Janata Party,Male,Post Graduate,"M.E. (Electrical Communication Engineering); Educated at Indian Institute of Science (IISc), Bangalore, Karnataka",43,4,0,5,65, (All data updated till 22 May 2012)
Jaswant Singh,Elected,18-May-09,In office,West Bengal,Darjeeling,Bharatiya Janata Party,Male,Graduate,"B.A., B.Sc.; Educated at Mayo College, Ajmer, Joint Services Wing, Clement Town, Dehradun. N.D.A. Khadakvasla and Indian Military Academy, Dehradun",74,12,0,0,73, (All data updated till 22 May 2012)
Jayant Chaudhary,Elected,18-May-09,In office,Uttar Pradesh,Mathura,Rashtriya Lok Dal,Male,Post Graduate,"M.Sc., Accounts and Finance; Educated at Landon School of Economics and Political Science",33,34,2,118,84, (All data updated till 22 May 2012)
Jayaram Pangi,Elected,18-May-09,In office,Orissa,Koraput,Biju Janata Dal,Male,Inter/ Higher Secondary,"Educated at Govt. TRW High School, Sunabeda - 1, Orissa; Hal, Sunabeda",56,4,0,173,73, (All data updated till 22 May 2012)
Jayshreeben Kanubhai Patel,Elected,18-May-09,In office,Gujarat,Mehesana,Bharatiya Janata Party,Female,Matric,,52,96,0,313,87, (All data updated till 22 May 2012)
Jeetendra Singh Bundela,Elected,18-May-09,In office,Madhya Pradesh,Khajuraho,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B; Maharaja Mahavidyalya Chhattarpur, Madhya Pradesh and Motilal Vidhi Mahavidyalaya Chattarpur, Madhya Pradesh",53,42,0,190,90, (All data updated till 22 May 2012)
Jhansi Botcha Lakshmi,Elected,18-May-09,In office,Andhra Pradesh,Vizianagaram,Indian National Congress,Female,Doctorate,"M.A. (Philosophy), Ph.D.",48,116,0,291,90, (All data updated till 22 May 2012)
Jitender Singh Malik,Elected,18-May-09,In office,Haryana,Sonipat,Indian National Congress,Male,Graduate,"B.A., LL.B.",42,8,0,42,62, (All data updated till 22 May 2012)
Jitendra Singh,Elected,18-May-09,In office,Rajasthan,Alwar,Indian National Congress,Male,Graduate,"B.Com; Educated at Delhi University & Wynberg Allan, Mussoorie",40,1,0,0,69,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (All data updated till 22 May 2012)"
Jitin Prasada,Elected,18-May-09,In office,Uttar Pradesh,Dhaurahra,Indian National Congress,Male,Post Graduate,"M.B.A.; Educated at Sri Ram College of Commerce, Delhi and IMI, Delhi",38,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Jose K. Mani,Elected,18-May-09,In office,Kerala,Kottayam,Kerala Congress (M),Male,Post Graduate,"B.Com., M.B.A. (Marketing); Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore",47,51,0,367,83, (All data updated till 22 May 2012)
Joseph Toppo,Elected,18-May-09,In office,Assam,Tezpur,Asom Gana Parishad,Male,Inter/ Higher Secondary,"H.S.L.C., Diploma in Automobile Engineering; Educated at Don Bosco Technical School Maligaon, Guwahati",58,13,0,99,74, (All data updated till 22 May 2012)
Jyoti Dhurve,Elected,18-May-09,In office,Madhya Pradesh,Betul,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Political Science), Educated at Durga Mahavidhyala Raipur, Chattisgarh",45,43,0,200,85, (All data updated till 22 May 2012)
Jyoti Mirdha,Elected,18-May-09,In office,Rajasthan,Nagaur,Indian National Congress,Female,Graduate,"M.B.B.S.; Educated at SMS Medical College, Jaipur (Rajasthan) ",39,26,0,58,93, (All data updated till 22 May 2012)
Jyotiraditya Madhavrao Scindia,Elected,18-May-09,In office,Madhya Pradesh,Guna,Indian National Congress,Male,Post Graduate,"M.A., M.B.A.; Educated at Doon School, Dehradun, Harvard University (U.S.A.) and Stanford University, California (USA) ",41,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
K. C. Venugopal,Elected,18-May-09,In office,Kerala,Alappuzha,Indian National Congress,Male,Post Graduate,M.Sc. (Mathematics); Educated at Calicut University,49,39,0,235,84,"This MP was appointed a minister in January, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th December, 2010. (All data updated till 22 May 2012)"
K. D. Deshmukh,Elected,18-May-09,In office,Madhya Pradesh,Balaghat,Bharatiya Janata Party,Male,Graduate,"B.Sc., LL.B.; Educated at Govt. J.S.T. College, Balaghat",63,52,0,119,66, (All data updated till 22 May 2012)
K. Jayaprakash Hegde,Elected,27-Mar-12,In office,Karnataka,Udupi Chikmagalur,Indian National Congress,Male,Graduate,Law,52,4,0,5,96, (All data updated till 22 May 2012)
K. Jayasurya Prakash Reddy,Elected,18-May-09,In office,Andhra Pradesh,Kurnool,Indian National Congress,Male,Graduate,"B.A.; Educated at Nizam College, Hyderabad, Andhra Pradesh",60,0,0,453,55, (All data updated till 22 May 2012)
K. Murugesan Anandan,Elected,18-May-09,In office,Tamil Nadu,Viluppuram,All India Anna Dravida Munnetra Kazhagam,Male,Under Graduate,"P.U.C.; Attended B.Sc course for three years; Educated at Govt. Arts College, Cuddalore, Tamil Nadu in the year 1971-74",60,14,1,133,88, (All data updated till 22 May 2012)
K. P. Dhanapalan,Elected,18-May-09,In office,Kerala,Chalakudy,Indian National Congress,Male,Graduate,"B.Sc. (Chemistry); Educated at U.C. College, Aluva",62,45,0,275,100, (All data updated till 22 May 2012)
K. Sugumar,Elected,18-May-09,In office,Tamil Nadu,Pollachi,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.Com.; Educated at P.S.G. College of Arts & Science, Coimbatore",51,32,0,354,83, (All data updated till 22 May 2012)
K.C. Singh Baba,Elected,18-May-09,In office,Uttarakhand,Nainital-Udhamsingh Nagar,Indian National Congress,Male,Inter/ Higher Secondary,"Senior Cambridge; Educated at St. Joseph`s College, Nainital, Uttarakhand",65,15,6,185,67, (All data updated till 22 May 2012)
K.H. Muniyappa,Elected,18-May-09,In office,Karnataka,Kolar,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Bangalore University (Karnataka) ",64,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
K.V. Thomas,Elected,18-May-09,In office,Kerala,Ernakulam,Indian National Congress,Male,Post Graduate,"M.Sc. (Chemistry); Educated at Scared Heart College, Cochin, Kerala",66,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Kabindra Purkayastha,Elected,18-May-09,In office,Assam,Silchar,Bharatiya Janata Party,Male,Post Graduate,"M.A., B.T.; Educated at Gauhati University, Gauhati (Assam) ",80,24,1,99,90, (All data updated till 22 May 2012)
Kabir Suman,Elected,18-May-09,In office,West Bengal,Jadavpur,All India Trinamool Congress,Male,Graduate,"B.A. (Hons.) English Literature; Educated at Jadav University, Kolkata",62,3,0,0,35, (All data updated till 22 May 2012)
Kadir Rana,Elected,18-May-09,In office,Uttar Pradesh,Muzaffarnagar,Bahujan Samaj Party,Male,Under Matric,,50,0,0,52,52, (All data updated till 22 May 2012)
Kailash Joshi,Elected,18-May-09,In office,Madhya Pradesh,Bhopal,Bharatiya Janata Party,Male,Matric,,82,3,0,73,84, (All data updated till 22 May 2012)
Kaisar Jahan,Elected,18-May-09,In office,Uttar Pradesh,Sitapur,Bahujan Samaj Party,Female,Under Matric,Privately Educated,38,4,0,26,57, (All data updated till 22 May 2012)
Kakoli Ghosh Dastidar,Elected,18-May-09,In office,West Bengal,Barasat,All India Trinamool Congress,Female,Post Graduate,"M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London",52,22,0,8,70, (All data updated till 22 May 2012)
Kalikesh Narayan Singh Deo,Elected,18-May-09,In office,Orissa,Bolangir,Biju Janata Dal,Male,Graduate,"B.A. (Hons.) Economics; Educated at St. Stepen`s College, Delhi University",38,14,0,226,69, (All data updated till 22 May 2012)
Kalyan Banerjee,Elected,18-May-09,In office,West Bengal,Serampore,All India Trinamool Congress,Male,Graduate,"B.Com., LL.B; Educated at Bankura Samilani College, Bankura",55,30,0,0,73, (All data updated till 22 May 2012)
Kalyan Singh,Elected,18-May-09,In office,Uttar Pradesh,Etah,Independent,Male,Graduate,"B.A., L.T.; Educated at D.S. Degree College, Alligarh, Uttar Pradesh",80,1,0,0,43, (All data updated till 22 May 2012)
Kamal Kishor,Elected,18-May-09,In office,Uttar Pradesh,Bahraich,Indian National Congress,Male,Graduate,B.A.; Indian Armed Forces,55,79,0,213,95, (All data updated till 22 May 2012)
Kamal Nath,Elected,18-May-09,In office,Madhya Pradesh,Chhindwara,Indian National Congress,Male,Graduate,"B.Com.; Educated at St. Xavier's College, Calcutta, West Bengal",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 22 May 2012)"
Kameshwar Baitha,Elected,18-May-09,In office,Jharkhand,Palamu,Jharkhand Mukti Morcha,Male,Matric,,56,25,0,134,34,Complete attendance for this MP is not available (All data updated till 22 May 2012)
Kamla Devi Patle,Elected,18-May-09,In office,Chhattisgarh,Janjgir-Champa,Bharatiya Janata Party,Female,Under Graduate,,46,12,0,166,73, (All data updated till 22 May 2012)
Kamlesh Balmiki,Elected,18-May-09,In office,Uttar Pradesh,Bulandshahr,Samajwadi Party,Male,Under Matric,,59,1,0,4,85, (All data updated till 22 May 2012)
Kamlesh Paswan,Elected,18-May-09,In office,Uttar Pradesh,Bansgaon,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at St. Pauls School I.C.S.E. Board Gorakhpur and U.P. Board, Gorakhpur",35,13,0,79,85, (All data updated till 22 May 2012)
Kantilal Bhuria,Elected,18-May-09,In office,Madhya Pradesh,Ratlam,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Chandrashekhar Azad College, Distt. Jhabua, Madhya Pradesh",61,0,0,0,55,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (All data updated till 22 May 2012)"
Kapil Muni Karwariya,Elected,18-May-09,In office,Uttar Pradesh,Phulpur,Bahujan Samaj Party,Male,Graduate,"B.A., LL.B.; Educated at Allahabad University and Lucknow University",45,14,0,130,80, (All data updated till 22 May 2012)
