name,nature,termStart,termEnd,state,constituency,party,gender,education,educationDetails,age,debates,bills,questions,attendance,notes
T.M. Selvaganapathi,Elected,30-Jun-10,In office,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Professional Post Graduate,"B.A. (Economics), M.A. (Economics), LL.B. Educated at Loyola College, Chennai, Jawaharlal Nehru University, New Delhi and Campus Law Centre, University of Delhi, Delhi",53,10,0,314,73, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
T.N. Seema,Elected,03-Apr-10,In office,Kerala,,Communist Party of India (Marxist),Female,Doctorate,"B.A., M.A. (Malayalam), Ph.D. in Malayalam Literature from University of Kerala Diploma in Tamil from Central Institute of Indian Languages, Mysore Diploma in Universalising Social Security from Institute of Social Science, Hague, the Netherlands",48,14,0,174,78, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
T.T.V. Dhinakaran,Elected,30-Jun-04,29-06-2010,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Information not available,,48,0,0,117,7, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Tapan Kumar Sen,Elected,03-Apr-12,In office,West Bengal,,Communist Party of India (Marxist),Male,Graduate,"B.A.(Hons.) in Economics Educated at Presidency College, Kolkata University ",60,80,0,157,90, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Tarini Kanta Roy,Elected,03-Apr-08,In office,West Bengal,,Communist Party of India (Marxist),Male,Under Graduate,"Undergraduate, Educated at A.B.N. Seal College (formerly Victoria College), Cooch Behar (West Bengal) ",62,14,0,77,73, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Tariq Anwar,Elected,05-Jul-10,In office,Maharashtra,,Nationalist Congress Party,Male,Graduate,"B.Sc. Educated at College of Commerce, Patna, Magadh University, Bodh Gaya (Bihar) ",61,41,0,379,88, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Tarlochan Singh,Elected,02-Aug-04,01-08-2010,Haryana,,Independent,Male,Post Graduate,"M.A. (Economics) Educated at Panjab University, Chandigarh ",79,30,0,40,94, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Tarun Vijay,Elected,05-Jul-10,In office,Uttarakhand,,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Dehradun and Osmania University, Hyderabad",56,71,4,148,90, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Thaawar Chand Gehlot,Elected,03-Apr-12,In office,Madhya Pradesh,,Bharatiya Janata Party,Male,Information not available,,Information not available,5,0,31,95, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Thomas Sangma,Elected,13-Apr-08,In office,Meghalaya,,Nationalist Congress Party,Male,Diploma Course,"Under Graduate, Diploma in Computer Applications Educated at Tura Government College (N.E.H.U.), Tura and C.A. I. (Kolkata), Tura ",50,7,4,52,86, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Tiruchi Siva,Elected,25-Jul-07,In office,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A. (Eng.), B.L. Educated at Periyar E.V.R. College, Madras University and Tiruchi Law College, Bharatidassan University ",58,81,0,22,91, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Upendra Kushwaha,Elected,08-Jul-10,In office,Bihar,,Janata Dal (United),Male,Post Graduate,"B.Sc., M.A. (Political Science) Educated at Patna Science College, Patna and B.R. Ambedkar Bihar University, Muzaffarpur (Bihar)",50,4,0,114,74, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
V. Hanumantha Rao,Elected,22-Jun-10,In office,Andhra Pradesh,,Indian National Congress,Male,Graduate,"B.A. Educated at Osmania University, Hyderabad ",63,16,0,108,76, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
V. Maitreyan,Elected,25-Jul-07,In office,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"M.B.B.S., M.D. (General Medicine), D.M. (Medical Oncology) Educated at Government Medical College, Nagpur University, Madras Medical College, University of Madras and Cancer Institute (WIA), University of Madras ",56,36,0,1,81, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
V.P. Singh Badnore,Elected,05-Jul-10,In office,Rajasthan,,Bharatiya Janata Party,Male,Graduate,"B.A.(Hons.), Business Management Educated at Mayo College, Government College, Ajmer and A.S.C.I., Hyderabad",64,21,0,24,88, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Vandana Hemant Chavan,Elected,03-Apr-12,In office,Maharashtra,,Nationalist Congress Party,Female,Information not available,,Information not available,0,0,0,86, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Varinder Singh Bajwa,Elected,10-Apr-04,09-04-2010,Punjab,,Shiromani Akali Dal,Male,Post Graduate,"M.A. (Political Science) Educated at Panjab University, Chandigarh",67,3,0,108,43, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Vasanthi Stanley,Elected,03-Apr-08,In office,Tamil Nadu,,Dravida Munnetra Kazhagam,Female,Post Graduate,"B.A., B.Ed., M.A. (English), B.L. Educated at Madurai Kamaraj University, Madurai and Dr. Ambedkar Law University, Chennai ",50,45,0,116,86, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Vayalar Ravi,Elected,22-Apr-09,In office,Kerala,,Indian National Congress,Male,Post Graduate,"B.A., M.A., B.L. Educated at S.D. College, Alappuzha, Maharajas College, Ernakulam and Law College, Ernakulam ",74,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data corresponds to the period 04 Jun 2009 to 22 May 2012)"
Veer Pal Singh Yadav,Elected,03-Apr-06,02-04-2012,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"B.A., LL.B. Educated at Atmaram Inter College, Balliya (Bareilly), Shri Gulab Ray Inter College, Bareilly and Bareilly College, Bareilly, Uttar Pradesh",56,14,0,23,85, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Veer Singh,Elected,26-Nov-08,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Graduate,"B.A., LL.B. Educated at J.S. Hindu College, Amroha, Jyotiba Phule Nagar and K.G.K. College, Muradabad, Uttar Pradesh",56,17,0,1,74, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Vegad Shankarbhai N.,Elected,03-Apr-12,In office,Gujarat,,Bharatiya Janata Party,Male,Information not available,,Information not available,0,0,0,100, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Vijay Jawaharlal Darda,Elected,05-Jul-10,In office,Maharashtra,,Indian National Congress,Male,Diploma Course,Diploma in Jounalism & Printing Technology,62,22,5,536,50, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
